                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5925,                 2.2393,                 1.4334,                0.95433,                0.27909,                0.59353,                0.35517,                 1.2565,                 2.1123,                 1.2727,             0.00046783,             0.00046783,             0.00046783
                      2,                 1.3646,                 1.3543,                   1.26,                0.64848,                0.76348,                0.75936,                0.44009,                  1.318,                 1.4243,                 1.2321,             0.00093481,             0.00093481,             0.00093481
                      3,                 1.3341,                 1.2729,                  1.242,                0.58616,                0.70542,                0.63487,                 0.3364,                 1.6944,                 1.6069,                 1.4557,              0.0013924,              0.0013924,              0.0013924
                      4,                 1.3116,                 1.1667,                 1.2374,                0.72187,                0.74612,                0.74991,                0.41817,                 1.3977,                  1.163,                 1.3281,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3129,                 1.1543,                 1.2417,                0.73174,                  0.775,                 0.7785,                0.43446,                 1.3937,                 1.2024,                 1.3069,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3054,                 1.0768,                 1.2161,                0.62221,                0.78468,                0.73503,                0.43593,                 1.3063,                 1.0949,                 1.2455,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.266,                 1.0342,                 1.2245,                 0.7525,                0.82818,                0.81598,                 0.4728,                 1.2914,                 1.0982,                 1.2737,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2623,                 1.0062,                 1.2094,                0.77529,                0.79459,                0.80176,                0.48146,                 1.2874,                 1.0166,                 1.2321,                0.00133,                0.00133,                0.00133
                      9,                 1.2672,                 1.0026,                 1.2057,                0.72846,                 0.8462,                0.80538,                0.48263,                 1.2493,                 1.1089,                 1.2275,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2384,                 0.9478,                 1.1849,                0.76216,                0.79104,                0.78795,                0.47387,                 1.2709,                 1.0392,                 1.2431,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2322,                0.93224,                 1.1787,                0.77515,                0.85448,                0.82286,                0.48781,                 1.2502,                 1.0099,                 1.2292,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2331,                0.95117,                 1.1852,                0.69718,                0.80354,                0.78958,                0.47075,                 1.2671,                 1.0439,                 1.2517,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2289,                0.93731,                  1.189,                0.76123,                0.85652,                0.80258,                0.48331,                 1.2352,                0.99006,                 1.2233,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2273,                0.90694,                 1.1718,                0.76948,                0.78654,                0.77349,                0.45211,                 1.2594,                 1.0325,                 1.2235,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2131,                 0.8999,                  1.165,                 0.7535,                0.86312,                0.84807,                0.49675,                   1.25,                 1.0101,                 1.2268,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1921,                0.87629,                 1.1727,                0.81866,                0.83924,                0.84624,                 0.5038,                 1.2611,                0.90401,                 1.2104,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1934,                0.88098,                 1.1621,                0.78427,                0.85898,                0.82302,                0.50288,                 1.2482,                0.92798,                 1.2099,              0.0012026,              0.0012026,              0.0012026
                     18,                  1.205,                0.84886,                 1.1702,                 0.7627,                0.87818,                0.81455,                0.48675,                 1.2177,                0.98428,                 1.1954,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1881,                0.85975,                 1.1723,                0.78439,                0.85731,                0.83401,                0.52529,                 1.1722,                0.87998,                 1.1758,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1847,                0.83728,                 1.1624,                 0.8073,                0.87135,                0.84224,                0.52811,                 1.1917,                0.86788,                 1.1656,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1799,                0.84695,                 1.1667,                0.78023,                0.87504,                 0.8336,                0.51538,                 1.2159,                0.85515,                 1.1674,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1777,                0.84293,                 1.1565,                0.78997,                0.86455,                0.81559,                0.48307,                 1.2429,                0.94798,                 1.2076,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1659,                0.83722,                 1.1573,                0.80635,                0.88377,                0.83967,                0.52512,                 1.1664,                 0.8595,                 1.1627,              0.0011178,              0.0011178,              0.0011178
